"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"1","GO:0003341","cilium movement",40,21,2.27,"1.8e-10"
"2","GO:0030317","flagellated sperm motility",26,11,1.48,"6.0e-08"
"3","GO:0060271","cilium assembly",69,23,3.92,"7.1e-08"
"4","GO:0007605","sensory perception of sound",46,12,2.61,"6.2e-06"
"5","GO:0036159","inner dynein arm assembly",4,4,0.23,"1.0e-05"
"6","GO:0018094","protein polyglycylation",12,6,0.68,"2.2e-05"
"7","GO:0036158","outer dynein arm assembly",7,4,0.4,"0.00031"
"8","GO:0050982","detection of mechanical stimulus",16,5,0.91,"0.00148"
"9","GO:0007638","mechanosensory behavior",11,4,0.62,"0.00245"
"10","GO:0031146","SCF-dependent proteasomal ubiquitin-depe...",34,7,1.93,"0.00253"
"11","GO:0046692","sperm competition",18,5,1.02,"0.00265"
"12","GO:0060285","cilium-dependent cell motility",32,14,1.82,"0.00292"
"13","GO:0071929","alpha-tubulin acetylation",2,2,0.11,"0.00321"
"14","GO:0071331","cellular response to hexose stimulus",2,2,0.11,"0.00321"
"15","GO:0043456","regulation of pentose-phosphate shunt",2,2,0.11,"0.00321"
"16","GO:0070903","mitochondrial tRNA thio-modification",2,2,0.11,"0.00321"
"17","GO:0007618","mating",78,11,4.43,"0.00422"
"18","GO:0071260","cellular response to mechanical stimulus",7,3,0.4,"0.00534"
"19","GO:0016082","synaptic vesicle priming",14,4,0.79,"0.00648"
"20","GO:0048515","spermatid differentiation",85,11,4.83,"0.00814"
"21","GO:1902475","L-alpha-amino acid transmembrane transpo...",23,5,1.31,"0.00824"
"22","GO:0015807","L-amino acid transport",23,5,1.31,"0.00824"
"23","GO:0006006","glucose metabolic process",23,5,1.31,"0.00824"
"24","GO:0070884","regulation of calcineurin-NFAT signaling...",3,2,0.17,"0.00928"
"25","GO:0019853","L-ascorbic acid biosynthetic process",3,2,0.17,"0.00928"
"26","GO:0071423","malate transmembrane transport",3,2,0.17,"0.00928"
"27","GO:0005978","glycogen biosynthetic process",3,2,0.17,"0.00928"
"28","GO:0071266","'de novo' L-methionine biosynthetic proc...",3,2,0.17,"0.00928"
"29","GO:0044720","negative regulation of imaginal disc-der...",3,2,0.17,"0.00928"
"30","GO:0001678","cellular glucose homeostasis",3,2,0.17,"0.00928"
"31","GO:0019343","cysteine biosynthetic process via cystat...",3,2,0.17,"0.00928"
"32","GO:0019346","transsulfuration",3,2,0.17,"0.00928"
"33","GO:0007343","egg activation",3,2,0.17,"0.00928"
"34","GO:0009631","cold acclimation",16,4,0.91,"0.01076"
"35","GO:1903531","negative regulation of secretion by cell",9,3,0.51,"0.01178"
"36","GO:1901292","nucleoside phosphate catabolic process",17,4,0.97,"0.01346"
"37","GO:0051048","negative regulation of secretion",10,3,0.57,"0.01613"
"38","GO:0051438","regulation of ubiquitin-protein transfer...",10,3,0.57,"0.01613"
"39","GO:0042908","xenobiotic transport",27,5,1.53,"0.01641"
"40","GO:0032436","positive regulation of proteasomal ubiqu...",27,5,1.53,"0.01641"
"41","GO:0006855","xenobiotic transmembrane transport",27,5,1.53,"0.01641"
"42","GO:0009409","response to cold",18,4,1.02,"0.01655"
"43","GO:0072525","pyridine-containing compound biosyntheti...",18,4,1.02,"0.01655"
"44","GO:0010996","response to auditory stimulus",4,2,0.23,"0.01786"
"45","GO:0090255","cell proliferation involved in imaginal ...",4,2,0.23,"0.01786"
